[query] info: retrieve seed=text k=200 lexical_only=False
[lexical] trace: ranked chunk file=docs/guides/reading-a-settlement-file.md ordinal=0 rrf=0.02225
[lexical] trace: ranked chunk file=docs/guides/measuring-dunning-recovery.md ordinal=0 rrf=0.02196
[lexical] trace: ranked chunk file=src/payments/verify_card_0115.py ordinal=0 rrf=0.02173
[lexical] trace: ranked chunk file=docs/rfcs/101-outbox-relay.md ordinal=0 rrf=0.02149
[lexical] trace: ranked chunk file=src/payments/handle_wallet_0225.py ordinal=0 rrf=0.02121
[lexical] trace: ranked chunk file=docs/adr/0002-tokenize-pan-at-the-edge.md ordinal=0 rrf=0.02108
[lexical] trace: ranked chunk file=docs/rfcs/0001-payment-data-handling.md ordinal=0 rrf=0.02107
[lexical] trace: ranked chunk file=docs/rfcs/106-fx-handling.md ordinal=0 rrf=0.02089
[lexical] trace: ranked chunk file=src/ledger/resolve_entry_0141.py ordinal=0 rrf=0.02071
[lexical] trace: ranked chunk file=docs/runbooks/manual-reconciliation.md ordinal=0 rrf=0.02069
[lexical] trace: ranked chunk file=docs/guides/local-development-setup.md ordinal=0 rrf=0.02066
[lexical] trace: ranked chunk file=docs/reference/platform-architecture.md ordinal=3 rrf=0.02065
[lexical] trace: ranked chunk file=docs/postmortems/2025-01-21-dunning-email-flood.md ordinal=0 rrf=0.02017
[lexical] trace: ranked chunk file=docs/meetings/2025-05-13-connector-onboarding.md ordinal=0 rrf=0.02003
[lexical] trace: ranked chunk file=docs/reference/platform-architecture.md ordinal=0 rrf=0.02002
[lexical] trace: ranked chunk file=docs/api/v1-postings.md ordinal=0 rrf=0.01968
[lexical] trace: ranked chunk file=docs/guides/handling-multi-currency.md ordinal=0 rrf=0.01957
[lexical] trace: ranked chunk file=docs/rfcs/109-proxy-HA.md ordinal=0 rrf=0.01952
[lexical] trace: ranked chunk file=docs/meetings/2025-11-23-chargeback-SLA.md ordinal=0 rrf=0.01941
[lexical] trace: ranked chunk file=docs/reference/platform-architecture.md ordinal=4 rrf=0.01921
