[query] info: retrieve seed=text k=200 lexical_only=False
[lexical] trace: ranked chunk file=docs/adr/0051-split-21.md ordinal=0 rrf=0.02244
[lexical] trace: ranked chunk file=docs/runbooks/replay-packing-13.md ordinal=0 rrf=0.02221
[lexical] trace: ranked chunk file=docs/runbooks/sweep-shipping-19.md ordinal=0 rrf=0.02203
[lexical] trace: ranked chunk file=docs/meetings/2025-12-14-029.md ordinal=0 rrf=0.022
[lexical] trace: ranked chunk file=docs/postmortems/2025-04-02-packing-08.md ordinal=0 rrf=0.02187
[lexical] trace: ranked chunk file=docs/postmortems/2025-08-02-slotting-01.md ordinal=0 rrf=0.02171
[lexical] trace: ranked chunk file=docs/api/asn-receiving.md ordinal=0 rrf=0.02162
[lexical] trace: ranked chunk file=docs/runbooks/drain-slotting-01.md ordinal=0 rrf=0.02142
[lexical] trace: ranked chunk file=docs/reference/platform-reference.md ordinal=4 rrf=0.0214
[lexical] trace: ranked chunk file=docs/adr/0055-direct-25.md ordinal=0 rrf=0.02138
[lexical] trace: ranked chunk file=docs/runbooks/reconcile-shipping-14.md ordinal=0 rrf=0.02119
[lexical] trace: ranked chunk file=docs/runbooks/drain-slotting-21.md ordinal=0 rrf=0.02091
[lexical] trace: ranked chunk file=docs/runbooks/drain-slotting-11.md ordinal=0 rrf=0.02083
[lexical] trace: ranked chunk file=docs/adr/0044-cache-14.md ordinal=0 rrf=0.02076
[lexical] trace: ranked chunk file=docs/postmortems/2025-12-22-shipping-09.md ordinal=0 rrf=0.02056
[lexical] trace: ranked chunk file=docs/reference/platform-reference.md ordinal=1 rrf=0.02052
[lexical] trace: ranked chunk file=docs/guides/batch-picking.md ordinal=0 rrf=0.02035
[lexical] trace: ranked chunk file=docs/adr/0039-key-09.md ordinal=0 rrf=0.02014
[lexical] trace: ranked chunk file=docs/adr/0048-persist-18.md ordinal=0 rrf=0.02003
[lexical] trace: ranked chunk file=docs/rfcs/102-picking-note-02.md ordinal=0 rrf=0.01992
[lexical] trace: ranked chunk file=docs/adr/0050-chunk-20.md ordinal=0 rrf=0.01988
[lexical] trace: ranked chunk file=docs/rfcs/101-slotting-note-01.md ordinal=0 rrf=0.01955
[lexical] trace: ranked chunk file=docs/adr/0035-represent-05.md ordinal=0 rrf=0.01932
[lexical] trace: ranked chunk file=docs/guides/picking-guide-07.md ordinal=0 rrf=0.01911
[lexical] trace: ranked chunk file=docs/guides/picking-guide-02.md ordinal=0 rrf=0.01888
[lexical] trace: ranked chunk file=docs/adr/0046-emit-16.md ordinal=0 rrf=0.01887
[lexical] trace: ranked chunk file=docs/runbooks/reconcile-shipping-24.md ordinal=0 rrf=0.01885
[lexical] trace: ranked chunk file=src/inbound/backorder_225.py ordinal=0 rrf=0.01878
[lexical] trace: ranked chunk file=docs/rfcs/108-packing-note-08.md ordinal=0 rrf=0.01863
[lexical] trace: ranked chunk file=src/shipping/dockout_364.ts ordinal=0 rrf=0.01843
[lexical] trace: ranked chunk file=docs/runbooks/recover-inbound-10.md ordinal=0 rrf=0.01827
[lexical] trace: ranked chunk file=src/picking/wave_27.py ordinal=0 rrf=0.01822
[lexical] trace: ranked chunk file=docs/rfcs/104-shipping-note-04.md ordinal=0 rrf=0.01818
[lexical] trace: ranked chunk file=docs/adr/0022-weekly-slotting-refresh.md ordinal=0 rrf=0.0181
[lexical] trace: ranked chunk file=docs/guides/picking-guide-17.md ordinal=0 rrf=0.01799
[lexical] trace: ranked chunk file=docs/meetings/2025-06-04-011.md ordinal=0 rrf=0.01755
[lexical] trace: ranked chunk file=docs/adr/0021-wave-cap-200-lines.md ordinal=0 rrf=0.01748
[lexical] trace: ranked chunk file=docs/reference/platform-reference.md ordinal=8 rrf=0.01738
[lexical] trace: ranked chunk file=docs/runbooks/reprint-inbound-15.md ordinal=0 rrf=0.01734
[lexical] trace: ranked chunk file=docs/runbooks/reprint-inbound-25.md ordinal=0 rrf=0.01719
[lexical] trace: ranked chunk file=docs/postmortems/2025-12-14-packing-03.md ordinal=0 rrf=0.01695
[lexical] trace: ranked chunk file=docs/runbooks/reconcile-shipping-04.md ordinal=0 rrf=0.01675
[lexical] trace: ranked chunk file=docs/postmortems/2025-08-06-shipping-04.md ordinal=0 rrf=0.01672
[lexical] trace: ranked chunk file=tests/slotting/test_reserve_31.py ordinal=0 rrf=0.01672
[lexical] trace: ranked chunk file=src/packing/pack_318.py ordinal=0 rrf=0.01671
[lexical] trace: ranked chunk file=docs/runbooks/legacy-manifest-cutoff-1600.md ordinal=0 rrf=0.01657
