chunk_index,doc,ordinal,cosine,int8_identical
97,docs/13-dock-scheduling-rules-2026.md,8,1.000000000,1
98,docs/13-dock-scheduling-rules-2026.md,9,1.000000000,1
99,docs/13-dock-scheduling-rules-2026.md,10,1.000000000,1
100,docs/14-customer-notification-matrix-2025.md,0,1.000000000,1
101,docs/14-customer-notification-matrix-2025.md,1,1.000000000,1
102,docs/14-customer-notification-matrix-2025.md,2,1.000000000,1
103,docs/14-customer-notification-matrix-2025.md,3,1.000000000,1
104,docs/14-customer-notification-matrix-2025.md,4,1.000000000,1
105,docs/14-customer-notification-matrix-2025.md,5,1.000000000,1
106,docs/14-customer-notification-matrix-2025.md,6,1.000000000,1
107,docs/14-customer-notification-matrix-2025.md,7,1.000000000,1
108,docs/14-customer-notification-matrix-2025.md,8,1.000000000,1
109,docs/15-customer-notification-matrix-2026.md,0,1.000000000,1
110,docs/15-customer-notification-matrix-2026.md,1,1.000000000,1
111,docs/15-customer-notification-matrix-2026.md,2,1.000000000,1
112,docs/15-customer-notification-matrix-2026.md,3,1.000000000,1
113,docs/15-customer-notification-matrix-2026.md,4,1.000000000,1
114,docs/15-customer-notification-matrix-2026.md,5,1.000000000,1
115,docs/15-customer-notification-matrix-2026.md,6,1.000000000,1
116,docs/15-customer-notification-matrix-2026.md,7,1.000000000,1
117,docs/15-customer-notification-matrix-2026.md,8,1.000000000,1
118,docs/15-customer-notification-matrix-2026.md,9,1.000000000,1
