run,arm,version,corpus,path,query_id,class,repeat,warmup,ms
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q002,rare,6,0,51.004
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q002,rare,6,0,77.133
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q002,rare,6,0,62.058
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q002,rare,7,0,51.233
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q002,rare,7,0,76.577
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q002,rare,7,0,62.769
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q002,rare,8,0,53.076
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q002,rare,8,0,79.074
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q002,rare,8,0,62.017
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q002,rare,9,0,52.729
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q002,rare,9,0,76.605
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q002,rare,9,0,62.268
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q002,rare,10,0,52.703
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q002,rare,10,0,76.785
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q002,rare,10,0,62.627
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q002,rare,11,0,51.811
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q002,rare,11,0,78.864
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q002,rare,11,0,62.341
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q002,rare,12,0,52.347
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q002,rare,12,0,76.620
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q002,rare,12,0,62.767
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,0,1,52.766
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,0,1,78.986
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,0,1,62.685
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,1,1,52.670
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,1,1,76.346
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,1,1,62.499
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,2,1,52.553
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,2,1,78.980
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,2,1,61.747
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,3,0,52.780
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,3,0,76.796
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,3,0,62.465
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,4,0,52.796
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,4,0,78.362
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,4,0,62.002
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,5,0,51.306
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,5,0,111.715
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,5,0,64.864
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,6,0,54.752
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,6,0,77.863
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,6,0,62.921
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,7,0,51.836
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,7,0,77.617
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,7,0,62.974
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,8,0,52.911
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,8,0,79.517
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,8,0,63.812
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,9,0,51.928
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,9,0,77.412
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,9,0,62.555
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,10,0,52.816
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,10,0,81.925
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,10,0,64.726
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,11,0,55.485
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,11,0,77.053
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,11,0,63.248
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q003,rare,12,0,53.097
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q003,rare,12,0,80.871
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q003,rare,12,0,62.811
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,0,1,51.846
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,0,1,76.902
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,0,1,62.684
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,1,1,51.846
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,1,1,78.824
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,1,1,63.108
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,2,1,52.956
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,2,1,77.614
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,2,1,66.828
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,3,0,52.878
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,3,0,80.629
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,3,0,63.138
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,4,0,51.990
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,4,0,79.294
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q004,rare,4,0,62.928
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q004,rare,5,0,53.028
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q004,rare,5,0,78.682
