q,n_top5,n_tied_rows,order_differs,declared_top5,id_top5
everi,5,0,0,file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/policy-data-retention.md,file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/policy-data-retention.md
helix,5,0,0,file:docs/adr-0007-helix-mesh.md|file:docs/adr-0019-calder-gateway.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/guide-oncall-rota.md,file:docs/adr-0007-helix-mesh.md|file:docs/adr-0019-calder-gateway.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/guide-oncall-rota.md
incid,5,0,0,file:docs/guide-oncall-rota.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md,file:docs/guide-oncall-rota.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md
mesh,5,0,0,file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-calderctl.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md,file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-calderctl.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md
no,5,0,0,file:docs/postmortem-checkout-outage.md|file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md,file:docs/postmortem-checkout-outage.md|file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md
on,0,0,0,,
rollback,5,0,0,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md|file:docs/reference-calderctl.md|file:docs/adr-0019-calder-gateway.md,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md|file:docs/reference-calderctl.md|file:docs/adr-0019-calder-gateway.md
rollout,5,0,0,file:docs/reference-deployment-tiers.md|file:docs/guide-oncall-rota.md|file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/reference-deployment-tiers.md|file:docs/guide-oncall-rota.md|file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
runbook,5,0,0,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/postmortem-checkout-outage.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md
0019,5,0,0,file:docs/adr-0019-calder-gateway.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md|file:docs/reference-calderctl.md,file:docs/adr-0019-calder-gateway.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md|file:docs/reference-calderctl.md
anyth,5,0,0,file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md,file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md
first,5,0,0,file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md|file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md|file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
legaci,5,0,0,file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/runbook-gateway-rollback.md|file:docs/postmortem-checkout-outage.md|file:docs/guide-oncall-rota.md,file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/runbook-gateway-rollback.md|file:docs/postmortem-checkout-outage.md|file:docs/guide-oncall-rota.md
mean,5,0,0,file:docs/reference-calderctl.md|file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/reference-calderctl.md|file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
network,5,0,0,file:docs/postmortem-checkout-outage.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/postmortem-checkout-outage.md|file:docs/guide-oncall-rota.md|file:docs/adr-0019-calder-gateway.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
per,5,0,0,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/adr-0019-calder-gateway.md|file:docs/adr-0007-helix-mesh.md,file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/adr-0019-calder-gateway.md|file:docs/adr-0007-helix-mesh.md
polici,5,0,0,file:docs/policy-data-retention.md|file:docs/reference-deployment-tiers.md|file:docs/adr-0007-helix-mesh.md|file:docs/adr-0019-calder-gateway.md|file:docs/guide-oncall-rota.md,file:docs/policy-data-retention.md|file:docs/reference-deployment-tiers.md|file:docs/adr-0007-helix-mesh.md|file:docs/adr-0019-calder-gateway.md|file:docs/guide-oncall-rota.md
postmortem,5,0,0,file:docs/postmortem-checkout-outage.md|file:docs/adr-0019-calder-gateway.md|file:docs/guide-oncall-rota.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/postmortem-checkout-outage.md|file:docs/adr-0019-calder-gateway.md|file:docs/guide-oncall-rota.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-mesh-rollback-legacy.md
rather,5,0,0,file:docs/policy-data-retention.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md,file:docs/policy-data-retention.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md|file:docs/reference-deployment-tiers.md|file:docs/runbook-gateway-rollback.md
run,5,0,0,file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/runbook-gateway-rollback.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md,file:docs/runbook-mesh-rollback-legacy.md|file:docs/reference-calderctl.md|file:docs/runbook-gateway-rollback.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md
statu,5,0,0,file:docs/reference-calderctl.md|file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md,file:docs/reference-calderctl.md|file:docs/guide-oncall-rota.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md
across,5,0,0,file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md,file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md
all,5,0,0,file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md,file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md|file:docs/postmortem-checkout-outage.md
becom,5,0,0,file:docs/postmortem-checkout-outage.md|file:docs/guide-onboarding.md|file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/postmortem-checkout-outage.md|file:docs/guide-onboarding.md|file:docs/adr-0007-helix-mesh.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md
befor,5,0,0,file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md,file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md
