rung,path,arm,rerank_weight,question_id,repeat,warmup,ok,ms
rung-01000,ask,off,0.0,g001,0,1,1,93.715
rung-01000,ask,on,1.0,g001,0,1,1,105.161
rung-01000,ask,off,0.0,g001,1,1,1,91.558
rung-01000,ask,on,1.0,g001,1,1,1,104.661
rung-01000,ask,off,0.0,g001,2,1,1,100.816
rung-01000,ask,on,1.0,g001,2,1,1,106.602
rung-01000,ask,off,0.0,g001,3,0,1,92.238
rung-01000,ask,on,1.0,g001,3,0,1,105.800
rung-01000,ask,off,0.0,g001,4,0,1,92.712
rung-01000,ask,on,1.0,g001,4,0,1,104.489
rung-01000,ask,off,0.0,g001,5,0,1,93.764
rung-01000,ask,on,1.0,g001,5,0,1,105.182
rung-01000,ask,off,0.0,g001,6,0,1,92.539
rung-01000,ask,on,1.0,g001,6,0,1,106.963
rung-01000,ask,off,0.0,g001,7,0,1,92.367
rung-01000,ask,on,1.0,g001,7,0,1,105.702
rung-01000,ask,off,0.0,g001,8,0,1,91.275
rung-01000,ask,on,1.0,g001,8,0,1,106.529
rung-01000,ask,off,0.0,g001,9,0,1,92.136
rung-01000,ask,on,1.0,g001,9,0,1,105.118
rung-01000,ask,off,0.0,g002,0,1,1,100.342
rung-01000,ask,on,1.0,g002,0,1,1,114.152
rung-01000,ask,off,0.0,g002,1,1,1,97.607
rung-01000,ask,on,1.0,g002,1,1,1,114.674
rung-01000,ask,off,0.0,g002,2,1,1,100.974
rung-01000,ask,on,1.0,g002,2,1,1,113.962
rung-01000,ask,off,0.0,g002,3,0,1,98.146
rung-01000,ask,on,1.0,g002,3,0,1,115.206
rung-01000,ask,off,0.0,g002,4,0,1,98.523
rung-01000,ask,on,1.0,g002,4,0,1,114.898
rung-01000,ask,off,0.0,g002,5,0,1,98.904
rung-01000,ask,on,1.0,g002,5,0,1,114.969
rung-01000,ask,off,0.0,g002,6,0,1,100.637
rung-01000,ask,on,1.0,g002,6,0,1,116.130
rung-01000,ask,off,0.0,g002,7,0,1,101.425
rung-01000,ask,on,1.0,g002,7,0,1,114.928
rung-01000,ask,off,0.0,g002,8,0,1,100.253
rung-01000,ask,on,1.0,g002,8,0,1,113.772
rung-01000,ask,off,0.0,g002,9,0,1,100.674
rung-01000,ask,on,1.0,g002,9,0,1,114.942
rung-01000,ask,off,0.0,g003,0,1,1,97.143
rung-01000,ask,on,1.0,g003,0,1,1,120.179
rung-01000,ask,off,0.0,g003,1,1,1,97.926
rung-01000,ask,on,1.0,g003,1,1,1,120.011
rung-01000,ask,off,0.0,g003,2,1,1,100.539
rung-01000,ask,on,1.0,g003,2,1,1,118.865
rung-01000,ask,off,0.0,g003,3,0,1,97.088
rung-01000,ask,on,1.0,g003,3,0,1,116.781
rung-01000,ask,off,0.0,g003,4,0,1,97.476
rung-01000,ask,on,1.0,g003,4,0,1,119.040
rung-01000,ask,off,0.0,g003,5,0,1,97.958
rung-01000,ask,on,1.0,g003,5,0,1,132.901
rung-01000,ask,off,0.0,g003,6,0,1,97.337
rung-01000,ask,on,1.0,g003,6,0,1,120.420
rung-01000,ask,off,0.0,g003,7,0,1,98.445
rung-01000,ask,on,1.0,g003,7,0,1,118.988
rung-01000,ask,off,0.0,g003,8,0,1,96.849
rung-01000,ask,on,1.0,g003,8,0,1,117.992
rung-01000,ask,off,0.0,g003,9,0,1,99.130
rung-01000,ask,on,1.0,g003,9,0,1,118.376
rung-01000,ask,off,0.0,g004,0,1,1,87.927
rung-01000,ask,on,1.0,g004,0,1,1,101.873
rung-01000,ask,off,0.0,g004,1,1,1,88.949
rung-01000,ask,on,1.0,g004,1,1,1,105.233
rung-01000,ask,off,0.0,g004,2,1,1,88.792
rung-01000,ask,on,1.0,g004,2,1,1,103.297
rung-01000,ask,off,0.0,g004,3,0,1,87.957
rung-01000,ask,on,1.0,g004,3,0,1,101.252
rung-01000,ask,off,0.0,g004,4,0,1,89.263
rung-01000,ask,on,1.0,g004,4,0,1,100.992
rung-01000,ask,off,0.0,g004,5,0,1,88.455
rung-01000,ask,on,1.0,g004,5,0,1,101.564
rung-01000,ask,off,0.0,g004,6,0,1,87.031
rung-01000,ask,on,1.0,g004,6,0,1,101.789
rung-01000,ask,off,0.0,g004,7,0,1,92.682
rung-01000,ask,on,1.0,g004,7,0,1,101.630
rung-01000,ask,off,0.0,g004,8,0,1,87.049
rung-01000,ask,on,1.0,g004,8,0,1,102.907
rung-01000,ask,off,0.0,g004,9,0,1,87.200
rung-01000,ask,on,1.0,g004,9,0,1,100.351
rung-01000,ask,off,0.0,g005,0,1,1,95.238
rung-01000,ask,on,1.0,g005,0,1,1,112.747
rung-01000,ask,off,0.0,g005,1,1,1,95.306
rung-01000,ask,on,1.0,g005,1,1,1,111.496
rung-01000,ask,off,0.0,g005,2,1,1,95.479
rung-01000,ask,on,1.0,g005,2,1,1,116.977
rung-01000,ask,off,0.0,g005,3,0,1,96.825
rung-01000,ask,on,1.0,g005,3,0,1,111.564
rung-01000,ask,off,0.0,g005,4,0,1,95.125
rung-01000,ask,on,1.0,g005,4,0,1,112.893
rung-01000,ask,off,0.0,g005,5,0,1,95.139
rung-01000,ask,on,1.0,g005,5,0,1,111.676
rung-01000,ask,off,0.0,g005,6,0,1,95.170
rung-01000,ask,on,1.0,g005,6,0,1,110.854
rung-01000,ask,off,0.0,g005,7,0,1,96.743
rung-01000,ask,on,1.0,g005,7,0,1,111.718
rung-01000,ask,off,0.0,g005,8,0,1,98.083
rung-01000,ask,on,1.0,g005,8,0,1,110.861
rung-01000,ask,off,0.0,g005,9,0,1,95.445
rung-01000,ask,on,1.0,g005,9,0,1,111.782
rung-01000,ask,off,0.0,g006,0,1,1,89.189
rung-01000,ask,on,1.0,g006,0,1,1,103.933
rung-01000,ask,off,0.0,g006,1,1,1,90.856
rung-01000,ask,on,1.0,g006,1,1,1,104.412
rung-01000,ask,off,0.0,g006,2,1,1,90.474
rung-01000,ask,on,1.0,g006,2,1,1,104.322
rung-01000,ask,off,0.0,g006,3,0,1,89.481
rung-01000,ask,on,1.0,g006,3,0,1,107.062
rung-01000,ask,off,0.0,g006,4,0,1,89.582
rung-01000,ask,on,1.0,g006,4,0,1,103.128
rung-01000,ask,off,0.0,g006,5,0,1,89.994
rung-01000,ask,on,1.0,g006,5,0,1,104.674
rung-01000,ask,off,0.0,g006,6,0,1,89.408
rung-01000,ask,on,1.0,g006,6,0,1,104.173
rung-01000,ask,off,0.0,g006,7,0,1,90.550
rung-01000,ask,on,1.0,g006,7,0,1,104.564
rung-01000,ask,off,0.0,g006,8,0,1,90.677
