run,arm,version,corpus,path,query_id,class,repeat,warmup,ms
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q001,rare,0,1,257.112
2026-09-15-node-column,B,2.0.1,docs-01000,scan,q001,rare,0,1,279.165
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,0,1,271.209
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,0,1,26.401
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q001,rare,1,1,211.173
2026-09-15-node-column,B,2.0.1,docs-01000,scan,q001,rare,1,1,234.621
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,1,1,269.586
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,1,1,26.063
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q001,rare,2,0,212.853
2026-09-15-node-column,B,2.0.1,docs-01000,scan,q001,rare,2,0,233.488
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,2,0,288.111
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,2,0,26.125
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q001,rare,3,0,210.847
2026-09-15-node-column,B,2.0.1,docs-01000,scan,q001,rare,3,0,233.844
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,3,0,270.499
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,3,0,26.451
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q001,rare,4,0,208.614
2026-09-15-node-column,B,2.0.1,docs-01000,scan,q001,rare,4,0,233.561
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,4,0,272.324
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,4,0,26.437
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q001,rare,5,0,210.883
2026-09-15-node-column,B,2.0.1,docs-01000,scan,q001,rare,5,0,234.567
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,5,0,270.911
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,5,0,26.490
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q001,rare,6,0,211.299
2026-09-15-node-column,B,2.0.1,docs-01000,scan,q001,rare,6,0,235.249
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,6,0,272.720
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q001,rare,6,0,26.349
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q002,rare,0,1,212.720
2026-09-15-node-column,B,2.0.1,docs-01000,scan,q002,rare,0,1,231.990
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q002,rare,0,1,272.478
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q002,rare,0,1,26.335
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q002,rare,1,1,210.329
2026-09-15-node-column,B,2.0.1,docs-01000,scan,q002,rare,1,1,236.313
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q002,rare,1,1,272.219
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-01000,node,q002,rare,1,1,26.270
2026-09-15-node-column,A,1.0.0,docs-01000,scan,q002,rare,2,0,211.260
