run,arm,version,corpus,path,query_id,class,repeat,warmup,ms
2026-09-15-node-column,A,1.0.0,docs-00100,scan,q001,rare,0,1,59.600
2026-09-15-node-column,B,2.0.1,docs-00100,scan,q001,rare,0,1,86.716
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,0,1,62.585
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,0,1,25.259
2026-09-15-node-column,A,1.0.0,docs-00100,scan,q001,rare,1,1,51.250
2026-09-15-node-column,B,2.0.1,docs-00100,scan,q001,rare,1,1,75.406
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,1,1,61.122
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,1,1,25.397
2026-09-15-node-column,A,1.0.0,docs-00100,scan,q001,rare,2,0,50.943
2026-09-15-node-column,B,2.0.1,docs-00100,scan,q001,rare,2,0,77.509
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,2,0,61.320
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,2,0,25.622
2026-09-15-node-column,A,1.0.0,docs-00100,scan,q001,rare,3,0,52.092
2026-09-15-node-column,B,2.0.1,docs-00100,scan,q001,rare,3,0,76.435
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,3,0,62.311
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,3,0,25.541
2026-09-15-node-column,A,1.0.0,docs-00100,scan,q001,rare,4,0,52.409
2026-09-15-node-column,B,2.0.1,docs-00100,scan,q001,rare,4,0,77.858
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,4,0,61.327
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,4,0,25.622
2026-09-15-node-column,A,1.0.0,docs-00100,scan,q001,rare,5,0,51.167
2026-09-15-node-column,B,2.0.1,docs-00100,scan,q001,rare,5,0,76.472
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,5,0,61.532
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,5,0,25.201
2026-09-15-node-column,A,1.0.0,docs-00100,scan,q001,rare,6,0,52.252
2026-09-15-node-column,B,2.0.1,docs-00100,scan,q001,rare,6,0,78.767
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,6,0,62.468
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,6,0,25.627
2026-09-15-node-column,A,1.0.0,docs-00100,scan,q002,rare,0,1,52.072
2026-09-15-node-column,B,2.0.1,docs-00100,scan,q002,rare,0,1,75.956
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q002,rare,0,1,61.819
